,name,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Anti-Hero,91,False,200690,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
1,Lavender Haze,85,True,202396,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4
2,Midnight Rain,82,False,174783,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,4
3,Blank Space,81,False,231827,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,4
4,Donâ€™t Blame Me,83,False,236413,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4
5,cardigan,81,False,239560,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
6,"You're On Your Own, Kid",79,False,194207,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041,4
7,Bejeweled,79,False,194166,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999,4
8,Snow On The Beach (feat. Lana Del Rey),79,True,256124,0.663,0.319,9,-13.481,1,0.0375,0.69,0.000993,0.117,0.193,109.957,4
9,Karma,79,True,204852,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02,4
